datesin,datecos,storage1,storage2,rainfall,rainfall1,rfquart,rfhalf,swc_pc_s,high_prec_freq,low_prec_dur,Inception_use_WR,run_mm_syr,ele_mt_smx,Inception_use_P,Inception_use_Irr,Inception_use_FC,Capacity,Catchment_area
-0.4999999999999997,-0.8660254037844388,99.0,94.0,88.04554168,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,47.89145434,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,140.7936927,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,108.5486688,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,180.3835288,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,149.8542058,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,150.2580867,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,164.1764019,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,78.35475985,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,98.68937704,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,228.3618059,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,91.76870922,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,135.4738693,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,70.89054892,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
